Déplacement (mm);Force (N)
10.84;9549.24
10.84;9565.23
10.84;9565.23
10.84;9565.23
10.89;9533.24
10.89;9533.24
10.89;9549.24
10.89;9549.24
10.89;9565.23
10.89;9549.24
10.89;9565.23
10.89;9533.24
10.89;9565.23
10.95;9533.24
10.95;9549.24
10.95;9533.24
10.95;9549.24
10.95;9565.23
11.01;9533.24
11.01;9549.24
11.01;9565.23
11.01;9549.24
11.01;9565.23
11.01;9533.24
11.01;9565.23
11.01;9565.23
11.06;9533.24
11.06;9533.24
11.06;9565.23
11.06;9565.23
11.06;9565.23
11.12;9533.24
11.12;9549.24
11.12;9549.24
11.12;9565.23
11.12;9533.24
11.12;9549.24
11.12;9549.24
11.12;9549.24
11.17;9533.24
11.17;9533.24
11.17;9533.24
11.17;9565.23
11.17;9549.24
11.17;9565.23
11.17;9565.23
11.23;9549.24
11.23;9533.24
11.23;9549.24
11.23;9533.24
11.23;9549.24
11.23;9565.23
11.29;9533.24
11.29;9533.24
11.29;9565.23
11.29;9549.24
11.34;9533.24
11.34;9533.24
11.34;9549.24
11.34;9533.24
11.34;9565.23
11.34;9549.24
11.34;9549.24
11.34;9549.24
11.4;9533.24
11.4;9533.24
11.4;9549.24
11.4;9533.24
11.4;9549.24
11.4;9533.24
11.4;9549.24
11.4;9565.23
11.4;9549.24
11.46;9533.24
11.46;9533.24
11.46;9533.24
11.46;9549.24
11.46;9549.24
11.46;9549.24
11.46;9549.24
11.51;9533.24
11.51;9533.24
11.51;9533.24
11.51;9533.24
11.51;9549.24
11.51;9549.24
11.57;9533.24
11.57;9533.24
11.57;9549.24
11.57;9533.24
11.57;9549.24
11.57;9549.24
11.57;9549.24
11.62;9533.24
11.62;9533.24
11.62;9533.24
11.62;9549.24
11.62;9549.24
11.62;9549.24
11.68;9533.24
11.68;9533.24
11.68;9533.24
11.68;9549.24
11.68;9533.24
11.68;9549.24
11.68;9549.24
11.74;9533.24
11.74;9533.24
11.74;9549.24
11.74;9549.24
11.74;9549.24
11.74;9549.24
11.79;9533.24
11.79;9533.24
11.79;9533.24
11.79;9533.24
11.79;9549.24
11.79;9533.24
11.79;9549.24
11.79;9533.24
11.79;9549.24
11.85;9533.24
11.85;9549.24
11.85;9533.24
11.85;9549.24
11.85;9549.24
11.9;9533.24
11.9;9533.24
11.9;9549.24
11.9;9533.24
11.9;9549.24
11.9;9549.24
11.9;9549.24
11.96;9533.24
11.96;9517.25
11.96;9533.24
11.96;9549.24
11.96;9549.24
11.96;9549.24
12.02;9533.24
12.02;9533.24
12.02;9533.24
12.02;9549.24
12.02;9533.24
12.02;9549.24
12.02;9533.24
12.07;9533.24
12.07;9517.25
12.07;9533.24
12.07;9517.25
12.07;9549.24
12.07;9517.25
12.07;9533.24
12.07;9549.24
12.13;9517.25
12.13;9517.25
12.13;9533.24
12.13;9533.24
12.13;9549.24
12.13;9549.24
12.19;9533.24
12.19;9517.25
12.19;9533.24
12.19;9533.24
12.19;9533.24
12.19;9533.24
12.19;9533.24
